y,ds
0.5712137703837062,2023-01-01
0.43586437623457447,2023-01-02
0.4070422816110204,2023-01-03
0.35567889877132763,2023-01-04
0.36719982279554353,2023-01-05
0.35109698679924395,2023-01-06
0.28431142899685335,2023-01-07
2.1656049751933892,2023-01-08
3.7108155818548965,2023-01-09
4.881976380241279,2023-01-10
4.905227171280295,2023-01-11
6.371021744044321,2023-01-12
6.407625441498785,2023-01-13
6.904846919825332,2023-01-14
6.877214675865783,2023-01-15
7.390531223195545,2023-01-16
6.282354341432761,2023-01-17
6.493042424216367,2023-01-18
6.527607082847025,2023-01-19
6.247265498741116,2023-01-20
7.006603520069544,2023-01-21
6.310766472707492,2023-01-22
7.082269223469618,2023-01-23
6.667810274470097,2023-01-24
6.0769388969748706,2023-01-25
5.872871551342109,2023-01-26
6.339581819995704,2023-01-27
6.231730725171196,2023-01-28
6.552210357570912,2023-01-29
5.730018880848308,2023-01-30
8.401770059314975,2023-01-31
9.665049418583356,2023-02-01
10.915044761986449,2023-02-02
12.406413050656536,2023-02-03
13.943800586607518,2023-02-04
12.649307328653185,2023-02-05
14.188515178598957,2023-02-06
13.63684169363455,2023-02-07
13.030338212880764,2023-02-08
14.773569211406304,2023-02-09
15.60406742554309,2023-02-10
14.21987664265698,2023-02-11
12.951178482839495,2023-02-12
14.294824445146993,2023-02-13
15.32468336973872,2023-02-14
14.779164286347049,2023-02-15
13.182461689414835,2023-02-16
14.387026485544238,2023-02-17
14.316638173253903,2023-02-18
14.854390508745702,2023-02-19
14.144589185685499,2023-02-20
12.710722533774861,2023-02-21
14.034952224876145,2023-02-22
12.63723303110983,2023-02-23
14.05890938911769,2023-02-24
14.509200936454146,2023-02-25
13.460724059676554,2023-02-26
13.002674454231494,2023-02-27
12.249102975163124,2023-02-28
12.99788044661877,2023-03-01
12.829149940319292,2023-03-02
13.646924128994533,2023-03-03
11.914889999848729,2023-03-04
13.8133431617905,2023-03-05
14.868068782047569,2023-03-06
13.537850906216379,2023-03-07
14.410221831684083,2023-03-08
14.722476605557459,2023-03-09
17.419785801176992,2023-03-10
15.400247144224334,2023-03-11
16.36935894231026,2023-03-12
17.69797427933901,2023-03-13
16.45566869707607,2023-03-14
16.665484106016567,2023-03-15
16.779075971969775,2023-03-16
17.270308620201387,2023-03-17
16.072738077107513,2023-03-18
15.35813271856085,2023-03-19
15.486173323177033,2023-03-20
15.46493286999221,2023-03-21
14.835130926826368,2023-03-22
16.218154327768577,2023-03-23
16.431253921940407,2023-03-24
15.024486873755459,2023-03-25
17.589331652983773,2023-03-26
17.195067848226966,2023-03-27
17.551735043283756,2023-03-28
17.889780398720596,2023-03-29
20.64086082554732,2023-03-30
26.472131377222322,2023-03-31
25.94916161506867,2023-04-01
29.17599430887073,2023-04-02
30.233116558655592,2023-04-03
27.75567236365832,2023-04-04
30.231518761120025,2023-04-05
28.80798100730975,2023-04-06
28.432344594115396,2023-04-07
31.019071941681254,2023-04-08
32.84874929774553,2023-04-09
31.09955420372329,2023-04-10
32.29430068014161,2023-04-11
31.12487126434497,2023-04-12
32.147168960747855,2023-04-13
31.53383327895941,2023-04-14
35.884532336585714,2023-04-15
42.45528483271135,2023-04-16
45.347705101458565,2023-04-17
42.17180423067242,2023-04-18
42.66467820786407,2023-04-19
40.78214080854874,2023-04-20
41.035026145386546,2023-04-21
41.457876430368614,2023-04-22
46.81382959511883,2023-04-23
46.34431640855592,2023-04-24
45.107112841526224,2023-04-25
49.97684345862771,2023-04-26
48.012091715851724,2023-04-27
44.24678435949085,2023-04-28
44.61126317935812,2023-04-29
45.1579947058646,2023-04-30
43.00909746295798,2023-05-01
48.429332197165124,2023-05-02
49.882560099470275,2023-05-03
48.837908582039184,2023-05-04
49.59834187417892,2023-05-05
44.873065444091765,2023-05-06
41.022233214637915,2023-05-07
42.423534371450394,2023-05-08
42.163964384511935,2023-05-09
43.50566810447592,2023-05-10
45.64381196456056,2023-05-11
45.87337894650785,2023-05-12
50.34429439776391,2023-05-13
51.06517137288026,2023-05-14
50.80652083999904,2023-05-15
43.90975000968446,2023-05-16
48.474154549441025,2023-05-17
51.24734106494956,2023-05-18
43.723805482039154,2023-05-19
46.43843929690522,2023-05-20
42.102960264940336,2023-05-21
49.67267260907047,2023-05-22
50.32982907495232,2023-05-23
46.794613078610304,2023-05-24
49.779887350925755,2023-05-25
44.63464688841599,2023-05-26
44.53867037970945,2023-05-27
44.050181101677666,2023-05-28
49.669420585435944,2023-05-29
49.856439922208146,2023-05-30
47.02516149480896,2023-05-31
44.147445364626314,2023-06-01
46.88442925769513,2023-06-02
45.70434007998694,2023-06-03
41.51100682590019,2023-06-04
48.78495440082223,2023-06-05
45.28497043705873,2023-06-06
41.78853643418746,2023-06-07
44.00687788999539,2023-06-08
47.81900001159518,2023-06-09
48.500158441935305,2023-06-10
48.83002920684317,2023-06-11
48.59373687859698,2023-06-12
56.032581929860164,2023-06-13
54.29645607617407,2023-06-14
55.85345703501576,2023-06-15
57.34904021248858,2023-06-16
52.250767311420404,2023-06-17
56.82636089394501,2023-06-18
49.97330083084745,2023-06-19
51.60449114428182,2023-06-20
50.77844283989398,2023-06-21
52.165738219281664,2023-06-22
56.563157691985204,2023-06-23
53.66004998437623,2023-06-24
51.61951525765956,2023-06-25
51.40061862614027,2023-06-26
55.768513445306745,2023-06-27
57.64777333841976,2023-06-28
57.39837209467207,2023-06-29
52.59132165120196,2023-06-30
52.87990681489414,2023-07-01
53.01970927397372,2023-07-02
55.64454094021512,2023-07-03
56.52586035817543,2023-07-04
53.91647045776023,2023-07-05
50.26599388112278,2023-07-06
51.065105656065825,2023-07-07
56.44563226410807,2023-07-08
54.03273399157251,2023-07-09
54.442711085121644,2023-07-10
56.27008312980651,2023-07-11
58.291868700477636,2023-07-12
50.0966609959515,2023-07-13
58.15510687809248,2023-07-14
54.84093377728708,2023-07-15
53.36823270182824,2023-07-16
50.073008335320885,2023-07-17
52.0861476546463,2023-07-18
47.73759685313708,2023-07-19
54.9226493144453,2023-07-20
50.80473978441366,2023-07-21
57.033013885022754,2023-07-22
47.7137771548073,2023-07-23
47.92298761344845,2023-07-24
52.11785522896716,2023-07-25
52.86319588612144,2023-07-26
51.72337173744099,2023-07-27
48.110774544718154,2023-07-28
54.51023746937726,2023-07-29
61.35107846255874,2023-07-30
59.26771638818124,2023-07-31
67.16161722337068,2023-08-01
70.38180009793533,2023-08-02
61.366240125994175,2023-08-03
72.51504864674861,2023-08-04
74.52815348182446,2023-08-05
69.88718605411346,2023-08-06
77.73459060586845,2023-08-07
65.08987994188026,2023-08-08
77.00779081293413,2023-08-09
79.92758131929136,2023-08-10
73.5931532012439,2023-08-11
77.33979437353717,2023-08-12
76.82675870449631,2023-08-13
72.59133369962866,2023-08-14
73.50649874333135,2023-08-15
71.47102133076872,2023-08-16
69.02467188513845,2023-08-17
76.48135526294918,2023-08-18
75.71183124767194,2023-08-19
81.08521270067999,2023-08-20
74.37042312248647,2023-08-21
79.1079591088409,2023-08-22
81.17727003039246,2023-08-23
75.69349241934442,2023-08-24
73.9990032611452,2023-08-25
75.406228102099,2023-08-26
83.77611643234543,2023-08-27
83.87045443161065,2023-08-28
84.50460490086891,2023-08-29
71.86565045976918,2023-08-30
75.72844181502681,2023-08-31
72.48158536509712,2023-09-01
72.57151862011322,2023-09-02
73.87574846827546,2023-09-03
69.63950209944983,2023-09-04
76.89102928955077,2023-09-05
70.85119226106885,2023-09-06
79.78154348389712,2023-09-07
69.44425367276779,2023-09-08
78.76110386418073,2023-09-09
68.76253745003535,2023-09-10
73.51783419147445,2023-09-11
77.34184547409654,2023-09-12
68.35655666359928,2023-09-13
79.96140016288135,2023-09-14
82.05301285006551,2023-09-15
74.72056687842502,2023-09-16
76.1270335923484,2023-09-17
80.67110149592635,2023-09-18
75.87385474089587,2023-09-19
70.48917207835338,2023-09-20
66.85622781963424,2023-09-21
77.14168934150489,2023-09-22
79.76510278115313,2023-09-23
68.79109404732242,2023-09-24
75.13864593200277,2023-09-25
79.93029839396849,2023-09-26
74.96075754797258,2023-09-27
75.14750190759729,2023-09-28
77.33085083124476,2023-09-29
82.89547934395273,2023-09-30
74.55690798382467,2023-10-01
75.63353060180879,2023-10-02
80.34713675732473,2023-10-03
81.03209149913643,2023-10-04
72.07286700967312,2023-10-05
81.05593096436871,2023-10-06
74.61990486072753,2023-10-07
80.62606282127052,2023-10-08
73.10768847755376,2023-10-09
76.37798646223172,2023-10-10
71.87167556184959,2023-10-11
75.10185060235969,2023-10-12
72.0780098955347,2023-10-13
80.66772837395979,2023-10-14
76.41012071024865,2023-10-15
82.22239043267697,2023-10-16
82.98938161914198,2023-10-17
76.07291691783368,2023-10-18
85.15459251747836,2023-10-19
83.61637362770581,2023-10-20
80.88779273131225,2023-10-21
71.537362139805,2023-10-22
75.1140672685108,2023-10-23
81.55279594383722,2023-10-24
86.97469877121685,2023-10-25
75.79783653814944,2023-10-26
75.46266712541045,2023-10-27
82.98541613532808,2023-10-28
74.52615439732554,2023-10-29
72.8339064344348,2023-10-30
72.18161802472682,2023-10-31
74.26763848122499,2023-11-01
83.82784790571218,2023-11-02
84.63199225696644,2023-11-03
74.80831383019445,2023-11-04
81.48386102405748,2023-11-05
77.58198107474439,2023-11-06
84.31232721433662,2023-11-07
79.62460329569713,2023-11-08
77.41053957733101,2023-11-09
75.99206004301828,2023-11-10
73.5104412496462,2023-11-11
80.06870502418761,2023-11-12
80.73419760299272,2023-11-13
82.01128163159821,2023-11-14
72.63889460413957,2023-11-15
74.6717863114732,2023-11-16
87.17052878604602,2023-11-17
77.09356946563089,2023-11-18
81.49821179770461,2023-11-19
79.62839474507004,2023-11-20
82.31869521795606,2023-11-21
83.06786937524119,2023-11-22
75.79427823137993,2023-11-23
78.35867849116386,2023-11-24
85.83447920686164,2023-11-25
80.59942210213131,2023-11-26
80.0055238862236,2023-11-27
79.9476951511316,2023-11-28
83.01237142120503,2023-11-29
75.26530744079295,2023-11-30
82.52348000773246,2023-12-01
77.32208769841793,2023-12-02
80.39946228511819,2023-12-03
78.74397779819725,2023-12-04
75.27838151836887,2023-12-05
83.72821970389306,2023-12-06
80.72711415750241,2023-12-07
86.32611617138699,2023-12-08
78.89393466071414,2023-12-09
87.98274915270987,2023-12-10
87.57613703522728,2023-12-11
73.6673719184579,2023-12-12
83.52975012965067,2023-12-13
82.64824652664028,2023-12-14
74.52935852426663,2023-12-15
86.15292529874002,2023-12-16
82.3599788881301,2023-12-17
77.58229118265994,2023-12-18
84.04439224944822,2023-12-19
76.43363611149749,2023-12-20
79.00213521352079,2023-12-21
82.49341069033726,2023-12-22
78.38700286788594,2023-12-23
81.70614657746768,2023-12-24
88.92377226750078,2023-12-25
81.6260169515476,2023-12-26
81.6161864710002,2023-12-27
88.8022913659981,2023-12-28
84.12587676963211,2023-12-29
